t2;l
1.6785636247338398;0.428
1.3382321091518556;0.332
1.4747196874992856;0.367
1.1712409548538991;0.292
1.5596642288421805;0.386
1.5540787487994945;0.386
1.571816106497975;0.386
1.0065663874620452;0.25
9.61344928776443;0.395
2.082206087464126;0.528
