time;period
1.273;1.02728
2.300;1.02708
3.327;1.02680
4.353;1.02653
5.380;1.02629
6.406;1.02601
7.432;1.02572
8.457;1.02549
9.482;1.02526
10.507;1.02497
11.532;1.02473
12.556;1.02454
13.581;1.02430
14.605;1.02408
15.629;1.02387
16.652;1.02364
17.676;1.02343
18.699;1.02322
19.722;1.02298
20.745;1.02277
21.767;1.02257
22.790;1.02240
23.812;1.02218
24.834;1.02200
25.856;1.02179
26.877;1.02162
27.899;1.02143
28.920;1.02122
29.941;1.02107
30.962;1.02089
31.983;1.02072
33.003;1.02054
34.024;1.02039
35.044;1.02021
36.064;1.02008
37.084;1.01990
38.104;1.01974
39.123;1.01959
40.143;1.01944
41.162;1.01932
42.181;1.01916
43.200;1.01899
44.219;1.01888
45.238;1.01872
46.256;1.01858
47.275;1.01848
48.293;1.01830
49.311;1.01817
50.329;1.01805
51.347;1.01792
52.365;1.01779
53.383;1.01766
54.400;1.01752
55.417;1.01739
56.435;1.01731
57.452;1.01716
58.469;1.01704
59.486;1.01696
60.503;1.01681
61.519;1.01672
62.536;1.01667
63.553;1.01644
64.569;1.01643
65.585;1.01630
66.601;1.01619
67.618;1.01608
68.634;1.01598
69.649;1.01585
70.665;1.01578
71.681;1.01566
72.696;1.01557
73.712;1.01547
74.727;1.01540
75.743;1.01528
76.758;1.01518
77.773;1.01511
78.788;1.01501
79.803;1.01494
80.818;1.01480
81.832;1.01478
82.847;1.01465
83.862;1.01463
84.876;1.01450
85.891;1.01441
86.905;1.01431
87.919;1.01431
88.933;1.01418
89.947;1.01409
90.961;1.01401
91.975;1.01389
92.989;1.01392
94.003;1.01378
95.017;1.01368
96.030;1.01361
97.044;1.01354
98.057;1.01349
99.071;1.01338
100.084;1.01328
101.097;1.01324
102.110;1.01318
103.124;1.01306
104.137;1.01301
105.150;1.01298
106.162;1.01284
107.175;1.01281
108.188;1.01281
109.201;1.01253
110.213;1.01263
111.226;1.01250
112.238;1.01243
113.250;1.01234
114.263;1.01230
115.275;1.01221
116.287;1.01216
117.299;1.01208
118.311;1.01200
119.323;1.01193
120.335;1.01191
121.347;1.01183
122.359;1.01174
123.370;1.01171
124.382;1.01161
125.393;1.01159
126.405;1.01155
127.416;1.01143
128.428;1.01146
129.439;1.01129
130.451;1.01131
131.462;1.01121
132.473;1.01118
133.484;1.01114
134.495;1.01099
135.506;1.01095
136.517;1.01095
137.528;1.01085
138.539;1.01085
139.549;1.01070
140.560;1.01073
141.571;1.01060
142.581;1.01057
143.592;1.01055
144.602;1.01046
145.613;1.01043
146.623;1.01038
147.633;1.01028
148.644;1.01025
149.654;1.01025
150.664;1.01013
151.674;1.01009
152.684;1.01008
153.694;1.00996
154.704;1.00997
155.714;1.00985
156.724;1.00984
157.734;1.00976
158.743;1.00974
159.753;1.00960
160.763;1.00966
161.772;1.00956
162.782;1.00951
163.791;1.00952
164.800;1.00938
165.810;1.00931
166.819;1.00927
167.828;1.00925
168.838;1.00921
169.847;1.00915
170.856;1.00904
171.865;1.00906
172.874;1.00890
173.883;1.00898
174.891;1.00884
175.900;1.00885
176.909;1.00870
177.918;1.00866
178.926;1.00868
179.935;1.00867
180.944;1.00851
181.952;1.00846
182.960;1.00845
183.969;1.00842
184.977;1.00831
185.985;1.00828
186.994;1.00827
188.002;1.00843
189.010;1.00795
190.018;1.00808
191.026;1.00799
192.034;1.00804
193.042;1.00793
194.050;1.00793
195.058;1.00780
196.066;1.00784
197.073;1.00773
198.081;1.00760
199.089;1.00761
200.096;1.00761
201.104;1.00747
202.111;1.00731
203.118;1.00742
204.126;1.00726
205.133;1.00758
206.140;1.00701
207.147;1.00708
208.155;1.00715
209.162;1.00703
210.168;1.00686
211.175;1.00703
212.182;1.00688
213.189;1.00696
214.196;1.00659
215.203;1.00669
216.209;1.00671
217.216;1.00663
218.222;1.00646
219.229;1.00636
220.235;1.00651
221.242;1.00648
222.248;1.00608
223.254;1.00634
224.260;1.00614
225.266;1.00598
226.272;1.00618
227.279;1.00605
