time;period
1.457;1.23606
2.692;1.23558
3.928;1.23591
5.164;1.23535
6.399;1.23512
7.634;1.23503
8.869;1.23496
10.103;1.23469
11.338;1.23444
12.572;1.23426
13.806;1.23408
15.040;1.23387
16.274;1.23365
17.507;1.23347
18.740;1.23332
19.974;1.23315
21.207;1.23297
22.439;1.23280
23.672;1.23261
24.904;1.23245
26.137;1.23228
27.369;1.23212
28.601;1.23198
29.833;1.23178
31.064;1.23165
32.296;1.23148
33.527;1.23134
34.758;1.23118
35.989;1.23104
37.220;1.23088
38.451;1.23074
39.681;1.23060
40.912;1.23046
42.142;1.23030
43.372;1.23018
44.602;1.23004
45.832;1.22992
47.062;1.22978
48.292;1.22965
49.521;1.22953
50.751;1.22939
51.980;1.22927
53.209;1.22915
54.438;1.22902
55.667;1.22889
56.896;1.22878
58.124;1.22865
59.353;1.22855
60.581;1.22843
61.810;1.22832
63.038;1.22821
64.266;1.22813
65.494;1.22798
66.722;1.22789
67.950;1.22776
69.177;1.22768
70.405;1.22753
71.632;1.22748
72.860;1.22735
74.087;1.22725
75.314;1.22714
76.541;1.22707
77.768;1.22694
78.995;1.22688
80.222;1.22674
81.449;1.22669
82.675;1.22657
83.902;1.22650
85.128;1.22640
86.354;1.22633
87.581;1.22623
88.807;1.22617
90.033;1.22605
91.259;1.22599
92.485;1.22587
93.710;1.22581
94.936;1.22572
96.162;1.22561
97.387;1.22557
98.613;1.22547
99.838;1.22539
101.063;1.22529
102.289;1.22520
103.514;1.22513
104.739;1.22505
105.964;1.22498
107.189;1.22492
108.414;1.22484
109.638;1.22479
110.863;1.22472
112.088;1.22466
113.312;1.22456
114.537;1.22452
115.761;1.22443
116.986;1.22439
118.210;1.22429
119.434;1.22421
120.658;1.22418
121.882;1.22409
123.106;1.22404
124.330;1.22394
125.554;1.22389
126.778;1.22381
128.002;1.22376
129.225;1.22362
130.449;1.22370
131.673;1.22354
132.896;1.22357
134.120;1.22340
135.343;1.22337
136.566;1.22332
137.790;1.22325
139.013;1.22319
140.236;1.22313
141.459;1.22308
142.682;1.22303
143.905;1.22295
145.128;1.22289
146.351;1.22284
147.574;1.22280
148.796;1.22270
150.019;1.22268
151.242;1.22262
152.464;1.22255
153.687;1.22250
154.909;1.22242
156.131;1.22243
157.354;1.22234
158.576;1.22228
159.798;1.22223
161.020;1.22213
162.243;1.22213
163.465;1.22206
164.687;1.22201
165.909;1.22196
167.131;1.22192
168.352;1.22190
169.574;1.22180
170.796;1.22178
172.018;1.22172
173.239;1.22165
174.461;1.22156
175.683;1.22161
176.904;1.22152
178.126;1.22148
179.347;1.22141
180.568;1.22136
181.790;1.22129
183.011;1.22131
184.232;1.22121
185.453;1.22118
186.674;1.22112
187.895;1.22100
189.117;1.22114
190.338;1.22101
191.559;1.22097
192.779;1.22097
194.000;1.22082
195.221;1.22092
196.442;1.22081
197.663;1.22072
198.883;1.22075
200.104;1.22067
201.325;1.22065
202.545;1.22054
203.766;1.22065
204.986;1.22045
206.207;1.22046
207.427;1.22043
208.648;1.22040
209.868;1.22034
211.088;1.22034
212.309;1.22026
213.529;1.22020
214.749;1.22014
215.969;1.22012
217.189;1.22008
218.409;1.22014
219.629;1.22006
220.849;1.21996
222.069;1.21993
223.289;1.21986
224.509;1.21985
225.729;1.21984
226.949;1.21979
228.168;1.21976
229.388;1.21972
230.608;1.21967
231.827;1.21965
233.047;1.21960
234.267;1.21959
235.486;1.21949
236.706;1.21949
237.925;1.21941
239.144;1.21944
240.364;1.21938
241.583;1.21926
242.803;1.21941
244.022;1.21925
245.241;1.21923
246.460;1.21923
247.679;1.21916
248.899;1.21914
250.118;1.21911
251.337;1.21905
252.556;1.21905
253.775;1.21903
254.994;1.21895
256.213;1.21897
257.432;1.21895
258.651;1.21884
259.869;1.21882
261.088;1.21886
262.307;1.21866
263.526;1.21874
264.744;1.21876
265.963;1.21866
267.182;1.21867
268.400;1.21858
269.619;1.21864
270.837;1.21847
272.056;1.21851
273.274;1.21851
274.493;1.21842
275.711;1.21840
276.930;1.21843
278.148;1.21832
279.366;1.21832
280.585;1.21824
281.803;1.21824
283.021;1.21831
284.239;1.21818
285.457;1.21822
286.675;1.21787
287.894;1.21838
289.112;1.21805
290.330;1.21797
291.548;1.21808
292.766;1.21785
293.984;1.21790
295.202;1.21799
296.419;1.21776
297.637;1.21786
298.855;1.21783
300.073;1.21779
301.291;1.21774
302.508;1.21773
303.726;1.21771
304.944;1.21755
306.161;1.21765
307.379;1.21760
308.596;1.21748
309.814;1.21750
311.031;1.21751
312.249;1.21742
313.466;1.21736
314.683;1.21742
315.901;1.21742
317.118;1.21740
318.335;1.21714
319.553;1.21745
320.770;1.21734
321.988;1.21736
323.205;1.21702
324.422;1.21716
325.639;1.21716
326.856;1.21714
328.073;1.21709
329.290;1.21706
330.507;1.21709
331.724;1.21703
332.941;1.21691
334.158;1.21692
335.375;1.21691
336.592;1.21693
337.809;1.21684
339.026;1.21680
340.242;1.21686
341.459;1.21684
342.676;1.21670
343.893;1.21668
345.109;1.21673
346.326;1.21674
347.543;1.21673
348.760;1.21668
349.976;1.21654
351.193;1.21658
352.409;1.21670
353.626;1.21664
354.843;1.21653
356.059;1.21650
357.276;1.21650
358.492;1.21646
359.709;1.21652
360.925;1.21636
362.141;1.21656
363.358;1.21632
364.574;1.21637
365.790;1.21620
367.007;1.21653
368.223;1.21627
369.439;1.21630
370.656;1.21616
371.872;1.21639
373.088;1.21606
374.304;1.21618
375.520;1.21619
376.737;1.21621
377.953;1.21617
379.169;1.21609
380.385;1.21603
381.601;1.21598
382.817;1.21601
384.033;1.21606
385.249;1.21598
386.465;1.21594
387.681;1.21582
388.897;1.21592
390.112;1.21578
