time;period
1.529;1.29865
2.827;1.29781
4.124;1.29710
5.421;1.29633
6.716;1.29556
8.011;1.29482
9.305;1.29404
10.598;1.29334
11.891;1.29261
13.183;1.29193
14.474;1.29127
15.765;1.29060
17.055;1.28996
18.344;1.28932
19.633;1.28871
20.921;1.28805
22.208;1.28745
23.495;1.28687
24.782;1.28629
26.067;1.28574
27.352;1.28521
28.637;1.28468
29.921;1.28419
31.205;1.28367
32.488;1.28318
33.771;1.28269
35.053;1.28222
36.335;1.28174
37.616;1.28129
38.897;1.28085
40.177;1.28038
41.457;1.27996
42.737;1.27953
44.016;1.27909
45.295;1.27868
46.573;1.27827
47.851;1.27785
49.128;1.27747
50.405;1.27708
51.682;1.27670
52.958;1.27632
54.234;1.27595
55.510;1.27559
56.785;1.27522
58.060;1.27490
59.334;1.27452
60.609;1.27420
61.883;1.27387
63.156;1.27354
64.429;1.27322
65.702;1.27291
66.975;1.27259
68.247;1.27228
69.519;1.27198
70.791;1.27166
72.062;1.27134
73.333;1.27106
74.604;1.27079
75.874;1.27050
77.145;1.27023
78.415;1.26996
79.684;1.26969
80.954;1.26942
82.223;1.26915
83.492;1.26890
84.760;1.26864
86.029;1.26840
87.297;1.26815
88.565;1.26790
89.833;1.26767
91.100;1.26743
92.367;1.26721
93.634;1.26697
94.901;1.26676
96.167;1.26652
97.434;1.26629
98.700;1.26607
99.966;1.26585
101.231;1.26563
102.497;1.26543
103.762;1.26525
105.027;1.26505
106.292;1.26486
107.557;1.26466
108.821;1.26447
110.085;1.26428
111.349;1.26411
112.613;1.26393
113.877;1.26377
115.141;1.26359
116.404;1.26342
117.667;1.26325
118.930;1.26309
120.193;1.26291
121.456;1.26275
122.719;1.26259
123.981;1.26244
125.243;1.26229
126.506;1.26212
127.768;1.26197
129.029;1.26183
130.291;1.26168
131.553;1.26152
132.814;1.26140
134.075;1.26121
135.336;1.26109
136.597;1.26095
137.858;1.26081
139.119;1.26066
140.379;1.26054
141.640;1.26040
142.900;1.26029
144.160;1.26016
145.420;1.26004
146.680;1.25991
147.940;1.25978
149.199;1.25967
150.459;1.25955
151.718;1.25941
152.978;1.25930
154.237;1.25918
155.496;1.25906
156.755;1.25894
158.014;1.25883
159.272;1.25873
160.531;1.25862
161.790;1.25850
163.048;1.25843
164.306;1.25831
165.565;1.25819
166.823;1.25809
168.081;1.25800
169.339;1.25789
170.596;1.25778
171.854;1.25768
173.112;1.25759
174.369;1.25749
175.626;1.25740
176.884;1.25731
178.141;1.25720
179.398;1.25709
180.655;1.25700
181.912;1.25690
183.169;1.25679
184.425;1.25674
185.682;1.25667
186.939;1.25656
188.195;1.25647
189.452;1.25640
190.708;1.25632
191.964;1.25625
193.220;1.25613
194.476;1.25608
195.732;1.25600
196.988;1.25594
198.244;1.25587
199.500;1.25576
200.756;1.25569
202.011;1.25561
203.267;1.25554
204.522;1.25545
205.778;1.25538
207.033;1.25530
208.288;1.25524
209.543;1.25517
210.798;1.25511
212.053;1.25505
213.308;1.25496
214.563;1.25488
215.818;1.25480
217.073;1.25478
218.328;1.25471
219.582;1.25464
220.837;1.25456
222.091;1.25449
223.346;1.25443
224.600;1.25436
225.854;1.25429
227.109;1.25423
228.363;1.25416
229.617;1.25409
230.871;1.25404
232.125;1.25396
233.379;1.25391
234.633;1.25384
235.886;1.25380
237.140;1.25374
238.394;1.25367
239.647;1.25361
240.901;1.25355
242.154;1.25349
243.408;1.25344
244.661;1.25339
245.915;1.25331
247.168;1.25327
248.421;1.25320
249.674;1.25316
250.927;1.25308
252.180;1.25303
253.433;1.25300
254.686;1.25295
255.939;1.25291
257.192;1.25283
258.445;1.25278
259.698;1.25274
260.950;1.25269
262.203;1.25263
263.455;1.25258
264.708;1.25253
265.960;1.25247
267.213;1.25243
268.465;1.25240
269.718;1.25231
270.970;1.25229
272.222;1.25221
273.474;1.25219
274.726;1.25212
275.978;1.25207
277.231;1.25205
278.483;1.25200
279.734;1.25194
280.986;1.25190
282.238;1.25187
283.490;1.25180
284.742;1.25176
285.993;1.25169
287.245;1.25167
288.497;1.25162
289.748;1.25159
291.000;1.25149
292.251;1.25149
293.503;1.25141
294.754;1.25134
296.005;1.25138
297.257;1.25130
298.508;1.25128
299.759;1.25124
301.010;1.25119
302.262;1.25116
303.513;1.25113
304.764;1.25110
306.015;1.25105
307.266;1.25098
308.517;1.25098
309.768;1.25091
311.019;1.25089
312.270;1.25084
313.520;1.25079
314.771;1.25076
316.022;1.25070
317.272;1.25070
318.523;1.25064
319.774;1.25061
321.024;1.25056
322.275;1.25054
323.525;1.25050
324.776;1.25042
326.026;1.25036
327.277;1.25042
328.527;1.25032
329.777;1.25032
331.027;1.25023
332.278;1.25023
333.528;1.25021
334.778;1.25016
336.028;1.25012
337.278;1.25014
338.528;1.25006
339.778;1.25004
341.028;1.24997
342.278;1.24995
343.528;1.24992
344.778;1.24991
346.028;1.24984
347.278;1.24982
348.528;1.24978
349.777;1.24973
351.027;1.24967
352.277;1.24967
353.526;1.24967
354.776;1.24963
356.026;1.24961
357.275;1.24954
358.525;1.24953
359.774;1.24954
361.024;1.24942
362.273;1.24944
363.522;1.24936
364.772;1.24937
366.021;1.24927
367.270;1.24928
368.520;1.24925
369.769;1.24921
371.018;1.24921
372.267;1.24915
373.516;1.24919
374.765;1.24905
376.014;1.24907
377.263;1.24906
378.512;1.24900
379.761;1.24894
381.010;1.24894
382.259;1.24889
383.508;1.24891
