time;period
1.514;1.27454
2.788;1.27424
4.062;1.27387
5.336;1.27366
6.609;1.27345
7.882;1.27314
9.155;1.27282
10.427;1.27249
11.700;1.27217
12.971;1.27188
14.243;1.27159
15.514;1.27132
16.785;1.27103
18.056;1.27076
19.327;1.27047
20.597;1.27020
21.867;1.26993
23.136;1.26967
24.406;1.26943
25.675;1.26917
26.944;1.26892
28.213;1.26868
29.481;1.26842
30.749;1.26820
32.017;1.26797
33.285;1.26773
34.552;1.26750
35.820;1.26728
37.087;1.26704
38.354;1.26681
39.620;1.26659
40.887;1.26640
42.153;1.26618
43.419;1.26598
44.684;1.26576
45.950;1.26558
47.215;1.26536
48.481;1.26515
49.746;1.26494
51.010;1.26473
52.275;1.26457
53.539;1.26438
54.803;1.26420
56.067;1.26403
57.331;1.26385
58.595;1.26366
59.858;1.26349
61.122;1.26332
62.385;1.26315
63.648;1.26300
64.911;1.26282
66.173;1.26265
67.436;1.26248
68.698;1.26234
69.960;1.26217
71.222;1.26202
72.484;1.26186
73.746;1.26172
75.008;1.26155
76.269;1.26141
77.530;1.26127
78.791;1.26112
80.052;1.26097
81.313;1.26083
82.574;1.26070
83.834;1.26055
85.095;1.26042
86.355;1.26029
87.615;1.26015
88.875;1.26002
90.135;1.25989
91.395;1.25976
92.655;1.25963
93.914;1.25951
95.173;1.25940
96.433;1.25929
97.692;1.25916
98.951;1.25904
100.210;1.25893
101.469;1.25880
102.727;1.25867
103.986;1.25857
105.244;1.25845
106.503;1.25833
107.761;1.25822
109.019;1.25812
110.277;1.25801
111.535;1.25793
112.793;1.25781
114.050;1.25770
115.308;1.25762
116.566;1.25751
117.823;1.25740
119.080;1.25729
120.338;1.25721
121.595;1.25713
122.852;1.25701
124.109;1.25694
125.365;1.25683
126.622;1.25674
127.879;1.25666
129.135;1.25657
130.392;1.25649
131.648;1.25641
132.905;1.25632
134.161;1.25623
135.417;1.25616
136.673;1.25604
137.929;1.25596
139.185;1.25587
140.441;1.25579
141.696;1.25570
142.952;1.25563
144.208;1.25555
145.463;1.25548
146.718;1.25541
147.974;1.25532
149.229;1.25525
150.484;1.25519
151.739;1.25512
152.994;1.25505
154.249;1.25497
