time;period
1.119;1.10138
2.220;1.10155
3.322;1.10147
4.423;1.10130
5.524;1.10109
6.625;1.10088
7.726;1.10071
8.826;1.10054
9.927;1.10037
11.027;1.10021
12.127;1.10005
13.227;1.09986
14.326;1.09970
15.426;1.09956
16.525;1.09939
17.625;1.09923
18.724;1.09909
19.823;1.09891
20.921;1.09877
22.020;1.09864
23.118;1.09847
24.217;1.09836
25.315;1.09821
26.413;1.09807
27.511;1.09794
28.609;1.09780
29.707;1.09765
30.804;1.09754
31.901;1.09738
32.999;1.09728
34.096;1.09715
35.193;1.09703
36.290;1.09690
37.387;1.09677
38.483;1.09666
39.580;1.09652
40.676;1.09642
41.772;1.09630
42.869;1.09618
43.965;1.09607
45.061;1.09595
46.157;1.09586
47.252;1.09575
48.348;1.09564
49.443;1.09552
50.539;1.09543
51.634;1.09533
52.729;1.09521
53.825;1.09511
54.920;1.09501
56.014;1.09492
57.109;1.09482
58.204;1.09472
59.299;1.09462
60.393;1.09455
61.488;1.09445
62.582;1.09438
63.676;1.09428
64.770;1.09419
65.865;1.09409
66.959;1.09401
68.052;1.09392
69.146;1.09384
70.240;1.09376
71.334;1.09368
72.427;1.09358
73.521;1.09352
74.614;1.09346
75.708;1.09333
76.801;1.09328
77.894;1.09322
78.987;1.09312
80.080;1.09306
81.173;1.09297
82.266;1.09289
83.359;1.09286
84.452;1.09273
85.544;1.09269
86.637;1.09261
87.730;1.09254
88.822;1.09247
89.914;1.09241
91.007;1.09231
92.099;1.09224
93.191;1.09216
94.283;1.09211
95.375;1.09203
96.467;1.09197
97.559;1.09186
98.651;1.09182
99.743;1.09174
100.834;1.09168
101.926;1.09161
103.018;1.09156
104.109;1.09143
105.200;1.09141
106.292;1.09135
107.383;1.09127
108.474;1.09122
109.565;1.09117
110.657;1.09109
111.748;1.09103
112.839;1.09099
113.929;1.09090
115.020;1.09078
116.111;1.09077
117.202;1.09074
118.292;1.09066
119.383;1.09060
120.474;1.09057
121.564;1.09049
122.654;1.09044
123.745;1.09038
124.835;1.09033
125.925;1.09028
127.016;1.09019
128.106;1.09014
129.196;1.09012
130.286;1.09002
131.376;1.08999
132.466;1.08993
133.556;1.08988
134.646;1.08984
135.735;1.08977
136.825;1.08973
137.915;1.08967
139.004;1.08963
140.094;1.08957
141.183;1.08953
142.273;1.08947
143.362;1.08942
144.452;1.08937
145.541;1.08928
146.630;1.08929
147.719;1.08919
148.809;1.08918
149.898;1.08915
150.987;1.08907
152.076;1.08901
153.165;1.08902
154.254;1.08888
155.343;1.08891
156.432;1.08889
157.520;1.08876
158.609;1.08877
159.698;1.08865
160.786;1.08866
161.875;1.08859
162.964;1.08855
164.052;1.08852
165.141;1.08845
166.229;1.08845
167.317;1.08835
168.406;1.08832
169.494;1.08830
170.582;1.08824
171.670;1.08818
172.759;1.08818
173.847;1.08810
174.935;1.08803
176.023;1.08806
177.111;1.08794
178.199;1.08792
179.286;1.08788
180.374;1.08785
181.462;1.08779
182.550;1.08775
183.638;1.08770
184.725;1.08760
185.813;1.08760
186.900;1.08762
187.988;1.08752
189.075;1.08749
190.163;1.08743
191.250;1.08736
192.338;1.08740
193.425;1.08729
194.512;1.08723
195.599;1.08717
196.687;1.08723
197.774;1.08719
198.861;1.08715
199.948;1.08699
201.035;1.08709
202.122;1.08700
203.209;1.08697
204.296;1.08690
205.383;1.08688
206.470;1.08682
207.556;1.08675
208.643;1.08677
209.730;1.08670
210.816;1.08666
211.903;1.08665
212.990;1.08654
214.076;1.08654
215.163;1.08648
216.249;1.08640
217.335;1.08645
218.422;1.08633
219.508;1.08635
220.594;1.08630
221.681;1.08623
222.767;1.08621
223.853;1.08617
224.939;1.08616
226.025;1.08604
227.111;1.08609
228.197;1.08602
229.283;1.08598
230.369;1.08586
231.455;1.08595
232.541;1.08579
233.627;1.08583
234.713;1.08579
235.798;1.08570
236.884;1.08574
237.970;1.08572
239.055;1.08565
240.141;1.08560
241.227;1.08554
242.312;1.08561
243.398;1.08549
244.483;1.08547
245.568;1.08541
246.654;1.08543
247.739;1.08539
