time;period
1.572;1.24758
2.820;1.24749
4.067;1.24713
5.314;1.24738
6.561;1.24747
7.809;1.24759
9.057;1.24764
10.304;1.24752
11.552;1.24746
12.799;1.24747
14.047;1.24740
15.294;1.24738
16.541;1.24733
17.789;1.24729
19.036;1.24736
20.283;1.24730
21.531;1.24732
22.778;1.24727
24.025;1.24728
25.272;1.24727
26.520;1.24724
27.767;1.24721
29.014;1.24715
30.261;1.24718
31.508;1.24709
32.755;1.24712
34.002;1.24712
35.250;1.24705
36.497;1.24704
37.744;1.24706
38.991;1.24703
40.238;1.24698
41.485;1.24694
42.732;1.24694
43.978;1.24692
45.225;1.24690
46.472;1.24686
47.719;1.24684
48.966;1.24685
50.213;1.24682
51.459;1.24675
52.706;1.24670
53.953;1.24677
55.200;1.24675
56.446;1.24674
57.693;1.24669
58.940;1.24674
60.187;1.24667
61.433;1.24670
62.680;1.24639
63.926;1.24653
65.173;1.24661
66.419;1.24660
67.666;1.24653
68.912;1.24654
70.159;1.24652
71.405;1.24650
72.652;1.24647
73.898;1.24649
75.145;1.24644
76.391;1.24642
77.638;1.24642
78.884;1.24639
80.130;1.24633
81.377;1.24638
82.623;1.24631
83.869;1.24621
85.116;1.24632
86.362;1.24621
87.608;1.24626
88.854;1.24619
90.100;1.24615
91.347;1.24614
92.593;1.24616
93.839;1.24620
95.085;1.24609
96.331;1.24614
97.577;1.24605
98.823;1.24600
100.069;1.24606
101.315;1.24598
102.561;1.24605
103.807;1.24596
105.053;1.24595
106.299;1.24596
107.545;1.24584
108.791;1.24591
110.037;1.24581
111.283;1.24595
112.529;1.24583
113.774;1.24570
115.020;1.24572
116.266;1.24578
117.511;1.24563
118.757;1.24572
120.003;1.24551
121.248;1.24560
122.494;1.24551
123.739;1.24562
124.985;1.24545
126.230;1.24548
127.476;1.24555
128.721;1.24544
